firstName,middleName,lastName,birthday ,sex,address,email,contactNumber,nationality,image,userType,lrn
Ti,Pak,Long,27/06/2001,Male,East Blue,tipaklong@gmail.com,9072056525,Filipino,./img/noprofile.png,Professor,44509
Pan ,De,Coco,27/06/2001,Male,East Blue,pandecoco@gmail.com,9072056526,Filipino,./img/noprofile.png,Professor,44510
Mus,Ta,Sa,28/06/2001,Male,East Blue,mustasa@gmail.com,9072056527,Filipino,./img/noprofile.png,Professor,44511
Ba,Ku,Ran,29/06/2001,Male,East Blue,bakuran@gmail.com,9072056528,Filipino,./img/noprofile.png,Professor,44512
Mos,Qui,To,30/06/2001,Male,East Blue,mosquito@gmail.com,9072056529,Filipino,./img/noprofile.png,Professor,44513
Ba,Teng,Teng,01/07/2001,Male,East Blue,batengteng@gmail.com,9072056530,Filipino,./img/noprofile.png,Professor,44514
Si,Na,Ing,02/07/2001,Male,East Blue,sinaing@gmail.com,9072056531,Filipino,./img/noprofile.png,Professor,44515
Avo,Ca,Do,03/07/2001,Male,East Blue,avocado@gmail.com,9072056532,Filipino,./img/noprofile.png,Professor,44516
Ber,Du,Go,04/07/2001,Male,East Blue,berdugo@gmail.com,9072056533,Filipino,./img/noprofile.png,Professor,44517
Con,Duc,Tor,05/07/2001,Male,East Blue,conductor@gmail.com,9072056534,Filipino,./img/noprofile.png,Professor,44518
