firstName,middleName,lastName,birthday,sex,address,email,contactNumber,nationality,image,userType,lrn
Carlo,Santos,Reyes,12/03/2002,Male,Quezon City,carloreyes@gmail.com,9051234561,Filipino,./img/noprofile.png,Student,202513260001
Angelica,Cruz,Mendoza,15/04/2002,Female,Manila,angelica.mendoza@gmail.com,9051234562,Filipino,./img/noprofile.png,Student,202513260002
Mark,Garcia,Torres,22/05/2002,Male,Pasig City,mark.torres@gmail.com,9051234563,Filipino,./img/noprofile.png,Student,202513260003
Joanna,Lim,Santos,08/06/2002,Female,Makati,joanna.lim@gmail.com,9051234564,Filipino,./img/noprofile.png,Student,202513260004
Vincent,Tan,Ong,19/07/2002,Male,Davao City,vincent.ong@gmail.com,9051234565,Filipino,./img/noprofile.png,Student,202513260005
Michelle,Dela Cruz,Ramos,25/08/2002,Female,Cebu City,michelle.ramos@gmail.com,9051234566,Filipino,./img/noprofile.png,Student,202513260006
Kevin,Aquino,Bautista,30/09/2002,Male,Bacolod,kevin.bautista@gmail.com,9051234567,Filipino,./img/noprofile.png,Student,202513260007
Rachel,Go,Sy,14/10/2002,Female,Iloilo,rachel.sy@gmail.com,9051234568,Filipino,./img/noprofile.png,Student,202513260008
Patrick,Chua,Tan,03/11/2002,Male,Cagayan de Oro,patrick.tan@gmail.com,9051234569,Filipino,./img/noprofile.png,Student,202513260009
Nicole,Yap,Lee,21/12/2002,Female,Zamboanga,nicole.lee@gmail.com,9051234570,Filipino,./img/noprofile.png,Student,202513260010
Rafael,Rivera,Castro,05/01/2003,Male,Taguig,rafael.castro@gmail.com,9051234571,Filipino,./img/noprofile.png,Student,202513260011
Sophia,Flores,Gomez,17/02/2003,Female,Baguio,sophia.gomez@gmail.com,9051234572,Filipino,./img/noprofile.png,Student,202513260012
Diego,Morales,Vargas,28/03/2003,Male,Cavite,diego.vargas@gmail.com,9051234573,Filipino,./img/noprofile.png,Student,202513260013
Isabella,Ortiz,Navarro,09/04/2003,Female,Pampanga,isabella.navarro@gmail.com,9051234574,Filipino,./img/noprofile.png,Student,202513260014
Mateo,Salazar,Jimenez,11/05/2003,Male,Batangas,mateo.jimenez@gmail.com,9051234575,Filipino,./img/noprofile.png,Student,202513260015
Olivia,Pineda,Herrera,22/06/2003,Female,Laguna,olivia.herrera@gmail.com,9051234576,Filipino,./img/noprofile.png,Student,202513260016
Liam,Castro,Santos,30/07/2003,Male,Bulacan,liam.santos@gmail.com,9051234577,Filipino,./img/noprofile.png,Student,202513260017
Ava,Romero,Diaz,18/08/2003,Female,Rizal,ava.diaz@gmail.com,9051234578,Filipino,./img/noprofile.png,Student,202513260018
Noah,Villanueva,Fernandez,27/09/2003,Male,Antipolo,noah.fernandez@gmail.com,9051234579,Filipino,./img/noprofile.png,Student,202513260019
Emma,Castillo,Lopez,06/10/2003,Female,Valenzuela,emma.lopez@gmail.com,9051234580,Filipino,./img/noprofile.png,Student,202513260020
Dr. Elena,Santos,Cruz,14/02/1985,Female,Quezon City,elena.cruz@yahoo.com,9051234581,Filipino,./img/noprofile.png,Professor,20001
Prof. Ramon,Garcia,Reyes,22/03/1980,Male,Manila,ramon.reyes@yahoo.com,9051234582,Filipino,./img/noprofile.png,Professor,20002
Dr. Maria,Lopez,Tan,30/04/1978,Female,Makati,maria.tan@gmail.com,9051234583,Filipino,./img/noprofile.png,Professor,20003
Prof. Jose,Mendoza,Lim,11/05/1975,Male,Pasig,jose.lim@yahoo.com,9051234584,Filipino,./img/noprofile.png,Professor,20004
Dr. Carmen,Delgado,Ong,19/06/1982,Female,Davao,carmen.ong@gmail.com,9051234585,Filipino,./img/noprofile.png,Professor,20005
Prof. Luis,Rivera,Go,25/07/1970,Male,Cebu,luis.go@yahoo.com,9051234586,Filipino,./img/noprofile.png,Professor,20006
Dr. Teresa,Aquino,Sy,03/08/1988,Female,Bacolod,teresa.sy@gmail.com,9051234587,Filipino,./img/noprofile.png,Professor,20007
Prof. Ben,Torres,Chua,12/09/1965,Male,Iloilo,ben.chua@yahoo.com,9051234588,Filipino,./img/noprofile.png,Professor,20008
Dr. Rosa,Bautista,Yap,21/10/1983,Female,Cagayan de Oro,rosa.yap@gmail.com,9051234589,Filipino,./img/noprofile.png,Professor,20009
Prof. Alex,Santos,Tan,30/11/1972,Male,Taguig,alex.tan@yahoo.com,9051234590,Filipino,./img/noprofile.png,Professor,20010
Dr. Grace,Morales,Lee,08/12/1986,Female,Baguio,grace.lee@gmail.com,9051234591,Filipino,./img/noprofile.png,Professor,20011
Prof. Mark,Vargas,Castro,15/01/1968,Male,Cavite,mark.castro@yahoo.com,9051234592,Filipino,./img/noprofile.png,Professor,20012
Dr. Anna,Navarro,Ortiz,23/02/1981,Female,Pampanga,anna.ortiz@gmail.com,9051234593,Filipino,./img/noprofile.png,Professor,20013
Prof. Paul,Jimenez,Salazar,01/03/1977,Male,Batangas,paul.salazar@yahoo.com,9051234594,Filipino,./img/noprofile.png,Professor,20014
Dr. Leah,Herrera,Pineda,10/04/1984,Female,Laguna,leah.pineda@gmail.com,9051234595,Filipino,./img/noprofile.png,Professor,20015
Prof. Ryan,Gomez,Flores,18/05/1973,Male,Bulacan,ryan.flores@yahoo.com,9051234596,Filipino,./img/noprofile.png,Professor,20016
Dr. Sarah,Diaz,Romero,26/06/1987,Female,Rizal,sarah.romero@gmail.com,9051234597,Filipino,./img/noprofile.png,Professor,20017
Prof. Joel,Fernandez,Villanueva,04/07/1969,Male,Antipolo,joel.villanueva@yahoo.com,9051234598,Filipino,./img/noprofile.png,Professor,20018
Dr. Mia,Lopez,Castillo,13/08/1980,Female,Valenzuela,mia.castillo@gmail.com,9051234599,Filipino,./img/noprofile.png,Professor,20019
Prof. Eric,Ramos,Dela Cruz,22/09/1976,Male,Las Piñas,eric.delacruz@yahoo.com,9051234600,Filipino,./img/noprofile.png,Professor,20020
